experiment,stage,epoch,train_loss,train_acc,train_f1,train_recall,val_loss,val_acc,val_f1,val_recall,test_accuracy,test_f1,test_recall,status
contrast_hybrid_augmentation,train,14,0.6917,0.7466,0.4368,0.4141,0.6823,0.7578,0.4026,0.3596,,,,GOOD FIT
contrast_hybrid_augmentation,test,final,,,,,,,,,0.7508,0.386,0.3516,FINAL
weighted,train,1,1.476,0.6005,0.3184,0.3528,1.157,0.6821,0.3853,0.3935,,,,UNDERFITTING
weighted,train,2,1.1804,0.6635,0.3965,0.4242,0.9687,0.6534,0.3658,0.3926,,,,GOOD FIT
weighted,train,3,1.0959,0.6939,0.4541,0.4885,0.9329,0.7056,0.3621,0.3941,,,,GOOD FIT
weighted,train,4,1.0176,0.7031,0.4764,0.5101,0.7941,0.7148,0.4495,0.4481,,,,GOOD FIT
weighted,train,5,1.0002,0.7084,0.4948,0.525,0.7807,0.7193,0.454,0.447,,,,GOOD FIT
weighted,train,6,0.9172,0.7325,0.5518,0.5851,0.8111,0.701,0.4288,0.4761,,,,GOOD FIT
weighted,train,7,0.8795,0.7455,0.5648,0.5929,0.7967,0.6899,0.4706,0.479,,,,GOOD FIT
weighted,train,8,0.8027,0.7638,0.6047,0.6439,0.881,0.6847,0.4861,0.5087,,,,GOOD FIT
weighted,train,9,0.723,0.7811,0.639,0.6763,0.9368,0.7095,0.4066,0.4159,,,,OVERFITTING
weighted,train,10,0.6309,0.7959,0.7035,0.7442,1.2817,0.6658,0.4056,0.4798,,,,OVERFITTING
weighted,test,final,,,,,,,,,0.7076,0.4946,0.5178,FINAL
weighted_hybrid,train,1,1.4405,0.5903,0.3215,0.3725,0.8461,0.7154,0.3152,0.3236,,,,GOOD FIT
weighted_hybrid,train,2,1.1158,0.6977,0.4198,0.4531,0.9123,0.6919,0.3854,0.3914,,,,GOOD FIT
weighted_hybrid,train,3,1.0359,0.7141,0.4743,0.4966,0.8061,0.7213,0.4651,0.489,,,,GOOD FIT
weighted_hybrid,train,4,0.9529,0.7385,0.514,0.542,0.7648,0.7369,0.4794,0.5154,,,,GOOD FIT
weighted_hybrid,train,5,0.936,0.7364,0.5195,0.5543,0.7808,0.7141,0.4631,0.506,,,,GOOD FIT
weighted_hybrid,train,6,0.8862,0.7475,0.5445,0.5755,1.0402,0.6364,0.3759,0.4914,,,,OVERFITTING
weighted_hybrid,train,7,0.8049,0.7688,0.6037,0.6387,0.8387,0.6795,0.4926,0.5198,,,,GOOD FIT
weighted_hybrid,train,8,0.7705,0.7782,0.6171,0.6478,0.866,0.6854,0.4405,0.4817,,,,OVERFITTING
weighted_hybrid,train,9,0.6753,0.7991,0.6658,0.7085,0.7586,0.7487,0.4854,0.4823,,,,OVERFITTING
weighted_hybrid,test,final,,,,,,,,,0.7076,0.5171,0.5641,FINAL
contrast_hybrid_weighted,train,1,1.4198,0.6135,0.3385,0.3844,0.9935,0.6736,0.3279,0.347,,,,GOOD FIT
contrast_hybrid_weighted,train,2,1.128,0.6995,0.4236,0.4516,0.9571,0.6756,0.3392,0.3488,,,,GOOD FIT
contrast_hybrid_weighted,train,3,1.0517,0.7109,0.4539,0.4778,0.9484,0.6521,0.4087,0.4925,,,,GOOD FIT
contrast_hybrid_weighted,train,4,0.9823,0.7281,0.4881,0.5147,0.7676,0.7324,0.4977,0.5198,,,,UNDERFITTING
contrast_hybrid_weighted,train,5,0.9621,0.7318,0.5143,0.5439,0.8716,0.6926,0.4215,0.4615,,,,GOOD FIT
contrast_hybrid_weighted,train,6,0.9087,0.7456,0.5393,0.5685,0.7993,0.7232,0.4422,0.4558,,,,GOOD FIT
contrast_hybrid_weighted,test,final,,,,,,,,,0.7441,0.4942,0.532,FINAL
smote,train,1,1.1515,0.6662,0.2607,0.2557,0.8259,0.7252,0.2446,0.2403,,,,GOOD FIT
